,Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
273,Assistant System Engineer ,DXC-Technology,0-4yrs  ,"7,21,472",2.8,13.9,4.0,900
274,Associate Consultant ,DXC-Technology,4-21yrs  ,"6,39,437",2.5,14.0,4.0,900
275,Senior Process Associate ,DXC-Technology,0-11yrs  ,"8,63,267",3.8,14.0,4.0,900
276,Software Engineer ,DXC-Technology,0-8yrs  ,"10,77,691",2.0,26.0,4.0,900
277,Process Associate ,DXC-Technology,0-9yrs  ,"12,08,735",3.6,22.5,4.0,900
278,Software Developer ,DXC-Technology,0-9yrs  ,"4,66,605",3.0,7.8,4.0,900
279,System Engineer Hardware ,DXC-Technology,0-6yrs  ,"4,25,647",3.0,6.6,4.0,900
280,System Engineer ,Infosys-BPM,0-10yrs  ,"3,06,644",1.0,4.7,3.7,886
281,IT Analyst ,Infosys-BPM,3-11yrs  ,"4,54,351",2.0,7.8,3.7,886
282,AST Consultant ,Infosys-BPM,6-15yrs  ,"2,88,614",95.0,8.0,3.7,886
283,Assistant System Engineer ,Infosys-BPM,0-4yrs  ,"3,15,026",1.4,4.5,3.7,886
284,Associate Consultant ,Infosys-BPM,4-21yrs  ,"3,88,772",1.7,5.7,3.7,886
285,Senior Process Associate ,Infosys-BPM,0-11yrs  ,"6,36,588",3.2,10.5,3.7,886
286,Software Engineer ,Infosys-BPM,0-8yrs  ,"4,30,719",2.4,6.0,3.7,886
287,Process Associate ,Infosys-BPM,0-9yrs  ,"3,30,034",1.5,5.5,3.7,886
288,Software Developer ,Infosys-BPM,0-9yrs  ,"2,44,936",1.2,3.3,3.7,886
289,System Engineer Hardware ,Infosys-BPM,0-6yrs  ,"5,13,433",2.5,7.0,3.7,886
290,System Engineer ,IDFC-FIRST-Bank,0-10yrs  ,"2,47,296",95.0,12.0,4.2,865
291,IT Analyst ,IDFC-FIRST-Bank,3-11yrs  ,"3,65,154",1.8,5.3,4.2,865
292,AST Consultant ,IDFC-FIRST-Bank,6-15yrs  ,"5,24,216",2.7,9.0,4.2,865
293,Assistant System Engineer ,IDFC-FIRST-Bank,0-4yrs  ,"5,92,476",1.5,11.0,4.2,865
294,Associate Consultant ,IDFC-FIRST-Bank,4-21yrs  ,"2,98,005",1.2,6.5,4.2,865
295,Senior Process Associate ,IDFC-FIRST-Bank,0-11yrs  ,"7,32,003",3.8,10.5,4.2,865
296,Software Engineer ,IDFC-FIRST-Bank,0-8yrs  ,"5,17,252",1.9,11.5,4.2,865
297,Process Associate ,IDFC-FIRST-Bank,0-9yrs  ,"6,99,830",2.4,12.0,4.2,865
298,Software Developer ,IDFC-FIRST-Bank,0-9yrs  ,"7,61,225",3.7,11.2,4.2,865
299,System Engineer Hardware ,IDFC-FIRST-Bank,0-6yrs  ,"12,43,276",2.5,26.0,4.2,865
300,System Engineer ,Maruti-Suzuki,0-10yrs  ,"16,17,450",6.5,27.0,3.7,834
301,IT Analyst ,Maruti-Suzuki,3-11yrs  ,"2,76,587",10.0,7.0,3.7,834
302,AST Consultant ,Maruti-Suzuki,6-15yrs  ,"2,51,828",10.0,20.0,3.7,834
303,Assistant System Engineer ,Maruti-Suzuki,0-4yrs  ,"2,53,167",10.0,10.0,3.7,834
304,Associate Consultant ,Maruti-Suzuki,4-21yrs  ,"22,21,056",10.0,30.3,3.7,834
305,Senior Process Associate ,Maruti-Suzuki,0-11yrs  ,"12,72,956",6.3,18.0,3.7,834
306,Software Engineer ,Maruti-Suzuki,0-8yrs  ,"2,32,339",20.0,22.5,3.7,834
307,Process Associate ,Maruti-Suzuki,0-9yrs  ,"2,34,328",15.0,15.2,3.7,834
308,Software Developer ,Maruti-Suzuki,0-9yrs  ,"18,28,077",7.2,30.5,3.7,834
309,System Engineer Hardware ,Maruti-Suzuki,0-6yrs  ,"2,52,922",10.0,25.0,3.7,834
310,System Engineer ,Conneqt-Business-Solutions,0-10yrs  ,"2,27,765",10.0,10.0,4.3,806
311,IT Analyst ,Conneqt-Business-Solutions,3-11yrs  ,"2,45,007",10.0,12.0,4.3,806
312,AST Consultant ,Conneqt-Business-Solutions,6-15yrs  ,"2,42,968",1.0,5.0,4.3,806
313,Assistant System Engineer ,Conneqt-Business-Solutions,0-4yrs  ,"3,75,441",20.0,7.2,4.3,806
314,Associate Consultant ,Conneqt-Business-Solutions,4-21yrs  ,"2,34,991",10.0,4.5,4.3,806
315,Senior Process Associate ,Conneqt-Business-Solutions,0-11yrs  ,"3,65,050",1.5,5.3,4.3,806
316,Software Engineer ,Conneqt-Business-Solutions,0-8yrs  ,"2,39,523",96.0,5.3,4.3,806
317,Process Associate ,Conneqt-Business-Solutions,0-9yrs  ,"3,12,988",1.0,5.1,4.3,806
318,Software Developer ,Conneqt-Business-Solutions,0-9yrs  ,"2,48,612",1.0,4.3,4.3,806
319,System Engineer Hardware ,Conneqt-Business-Solutions,0-6yrs  ,"1,98,077",10.0,4.0,4.3,806
320,System Engineer ,Bajaj-Finserv,0-10yrs  ,"2,57,773",10.0,15.0,3.7,789
321,IT Analyst ,Bajaj-Finserv,3-11yrs  ,"2,56,624",10.0,10.1,3.7,789
322,AST Consultant ,Bajaj-Finserv,6-15yrs  ,"4,97,046",1.3,9.0,3.7,789
323,Assistant System Engineer ,Bajaj-Finserv,0-4yrs  ,"4,32,272",10.0,8.0,3.7,789
324,Associate Consultant ,Bajaj-Finserv,4-21yrs  ,"8,90,157",2.1,15.0,3.7,789
325,Senior Process Associate ,Bajaj-Finserv,0-11yrs  ,"3,83,763",1.5,5.5,3.7,789
326,Software Engineer ,Bajaj-Finserv,0-8yrs  ,"5,24,402",2.0,8.0,3.7,789
327,Process Associate ,Bajaj-Finserv,0-9yrs  ,"2,35,796",10.0,12.0,3.7,789
328,Software Developer ,Bajaj-Finserv,0-9yrs  ,"2,01,007",10.0,5.0,3.7,789
329,System Engineer Hardware ,Bajaj-Finserv,0-6yrs  ,"3,98,052",1.6,6.2,3.7,789
330,System Engineer ,Hinduja-Global-Solutions,0-10yrs  ,"2,92,937",1.5,4.6,3.9,774
331,IT Analyst ,Hinduja-Global-Solutions,3-11yrs  ,"2,55,176",10.0,19.2,3.9,774
332,AST Consultant ,Hinduja-Global-Solutions,6-15yrs  ,"2,51,227",1.0,4.5,3.9,774
333,Assistant System Engineer ,Hinduja-Global-Solutions,0-4yrs  ,"2,70,570",1.2,4.2,3.9,774
334,Associate Consultant ,Hinduja-Global-Solutions,4-21yrs  ,"2,92,595",1.7,4.5,3.9,774
335,Senior Process Associate ,Hinduja-Global-Solutions,0-11yrs  ,"4,71,896",1.6,8.3,3.9,774
336,Software Engineer ,Hinduja-Global-Solutions,0-8yrs  ,"3,57,598",1.5,6.0,3.9,774
337,Process Associate ,Hinduja-Global-Solutions,0-9yrs  ,"2,63,696",1.6,3.5,3.9,774
338,Software Developer ,Hinduja-Global-Solutions,0-9yrs  ,"4,97,703",1.4,8.7,3.9,774
339,System Engineer Hardware ,Hinduja-Global-Solutions,0-6yrs  ,"2,39,163",10.0,12.1,3.9,774
340,System Engineer ,iEnergizer,0-10yrs  ,"3,23,050",10.0,24.0,3.4,754
341,IT Analyst ,iEnergizer,3-11yrs  ,"3,04,664",30.0,18.3,3.4,754
342,AST Consultant ,iEnergizer,6-15yrs  ,"3,59,845",20.0,7.0,3.4,754
343,Assistant System Engineer ,iEnergizer,0-4yrs  ,"3,08,346",1.0,8.0,3.4,754
344,Associate Consultant ,iEnergizer,4-21yrs  ,"3,57,470",15.0,35.6,3.4,754
345,Senior Process Associate ,iEnergizer,0-11yrs  ,"4,12,326",1.8,7.2,3.4,754
346,Software Engineer ,iEnergizer,0-8yrs  ,"4,05,532",2.0,7.0,3.4,754
347,Process Associate ,iEnergizer,0-9yrs  ,"4,48,561",1.6,7.6,3.4,754
348,Software Developer ,iEnergizer,0-9yrs  ,"2,66,742",1.7,4.1,3.4,754
349,System Engineer Hardware ,iEnergizer,0-6yrs  ,"3,35,298",1.8,6.0,3.4,754
350,System Engineer ,Startek,0-10yrs  ,"2,22,357",15.0,18.0,4.1,723
351,IT Analyst ,Startek,3-11yrs  ,"2,56,294",20.0,6.5,4.1,723
352,AST Consultant ,Startek,6-15yrs  ,"2,47,858",27.0,19.1,4.1,723
353,Assistant System Engineer ,Startek,0-4yrs  ,"3,93,719",15.0,6.8,4.1,723
354,Associate Consultant ,Startek,4-21yrs  ,"2,55,063",20.0,12.0,4.1,723
355,Senior Process Associate ,Startek,0-11yrs  ,"4,12,373",40.0,8.1,4.1,723
356,Software Engineer ,Startek,0-8yrs  ,"2,94,140",1.1,4.6,4.1,723
357,Process Associate ,Startek,0-9yrs  ,"3,42,907",1.1,5.2,4.1,723
358,Software Developer ,Startek,0-9yrs  ,"2,67,717",1.0,5.4,4.1,723
359,System Engineer Hardware ,Startek,0-6yrs  ,"2,32,308",10.0,4.0,4.1,723
360,System Engineer ,Ericsson,0-10yrs  ,"11,53,538",4.5,17.5,3.8,708
361,IT Analyst ,Ericsson,3-11yrs  ,"14,97,003",5.3,22.0,3.8,708
362,AST Consultant ,Ericsson,6-15yrs  ,"6,03,939",1.6,12.0,3.8,708
363,Assistant System Engineer ,Ericsson,0-4yrs  ,"24,25,466",8.0,38.2,3.8,708
364,Associate Consultant ,Ericsson,4-21yrs  ,"8,33,185",2.0,16.0,3.8,708
365,Senior Process Associate ,Ericsson,0-11yrs  ,"4,32,178",2.4,6.2,3.8,708
366,Software Engineer ,Ericsson,0-8yrs  ,"6,41,762",2.8,13.2,3.8,708
367,Process Associate ,Ericsson,0-9yrs  ,"8,39,093",2.4,16.1,3.8,708
368,Software Developer ,Ericsson,0-9yrs  ,"15,28,780",5.5,29.0,3.8,708
369,System Engineer Hardware ,Ericsson,0-6yrs  ,"5,01,889",1.9,6.6,3.8,708
370,System Engineer ,Mphasis,0-10yrs  ,"6,72,243",2.0,15.0,4.0,689
371,IT Analyst ,Mphasis,3-11yrs  ,"12,46,293",14.0,27.0,4.0,689
372,AST Consultant ,Mphasis,6-15yrs  ,"3,82,721",1.8,6.0,4.0,689
373,Assistant System Engineer ,Mphasis,0-4yrs  ,"2,52,778",1.0,4.1,4.0,689
374,Associate Consultant ,Mphasis,4-21yrs  ,"17,72,224",5.5,30.0,4.0,689
375,Senior Process Associate ,Mphasis,0-11yrs  ,"7,38,977",2.3,18.5,4.0,689
376,Software Engineer ,Mphasis,0-8yrs  ,"4,40,480",1.8,11.5,4.0,689
377,Process Associate ,Mphasis,0-9yrs  ,"2,99,824",1.5,5.5,4.0,689
378,Software Developer ,Mphasis,0-9yrs  ,"17,19,033",6.4,31.0,4.0,689
379,System Engineer Hardware ,Mphasis,0-6yrs  ,"19,45,882",8.1,32.0,4.0,689
380,System Engineer ,PwC,0-10yrs  ,"16,07,092",3.5,37.0,4.0,675
381,IT Analyst ,PwC,3-11yrs  ,"19,12,348",5.4,40.0,4.0,675
382,AST Consultant ,PwC,6-15yrs  ,"9,36,335",2.7,15.0,4.0,675
383,Assistant System Engineer ,PwC,0-4yrs  ,"20,03,402",5.4,35.0,4.0,675
384,Associate Consultant ,PwC,4-21yrs  ,"6,50,017",2.7,11.1,4.0,675
385,Senior Process Associate ,PwC,0-11yrs  ,"38,99,339",15.5,60.0,4.0,675
386,Software Engineer ,PwC,0-8yrs  ,"6,47,994",2.1,9.0,4.0,675
387,Process Associate ,PwC,0-9yrs  ,"10,20,042",4.0,22.0,4.0,675
388,Software Developer ,PwC,0-9yrs  ,"25,25,303",10.4,40.0,4.0,675
389,System Engineer Hardware ,PwC,0-6yrs  ,"5,14,533",1.8,10.0,4.0,675
390,System Engineer ,HDFC-Life,0-10yrs  ,"3,27,159",1.5,4.8,4.1,655
391,IT Analyst ,HDFC-Life,3-11yrs  ,"3,49,643",1.5,5.1,4.1,655
392,AST Consultant ,HDFC-Life,6-15yrs  ,"2,79,313",1.1,4.4,4.1,655
393,Assistant System Engineer ,HDFC-Life,0-4yrs  ,"4,36,302",2.8,6.1,4.1,655
394,Associate Consultant ,HDFC-Life,4-21yrs  ,"8,10,874",3.0,12.0,4.1,655
395,Senior Process Associate ,HDFC-Life,0-11yrs  ,"5,38,702",2.0,6.7,4.1,655
396,Software Engineer ,HDFC-Life,0-8yrs  ,"4,02,375",2.4,5.4,4.1,655
397,Process Associate ,HDFC-Life,0-9yrs  ,"7,29,762",2.6,11.5,4.1,655
398,Software Developer ,HDFC-Life,0-9yrs  ,"4,11,895",1.1,7.0,4.1,655
399,System Engineer Hardware ,HDFC-Life,0-6yrs  ,"3,12,680",1.0,5.0,4.1,655
400,System Engineer ,Yes-Bank,0-10yrs  ,"5,61,982",2.2,9.4,3.8,642
401,IT Analyst ,Yes-Bank,3-11yrs  ,"3,25,855",1.7,5.0,3.8,642
402,AST Consultant ,Yes-Bank,6-15yrs  ,"15,85,345",8.0,27.0,3.8,642
403,Assistant System Engineer ,Yes-Bank,0-4yrs  ,"6,83,746",2.0,19.0,3.8,642
404,Associate Consultant ,Yes-Bank,4-21yrs  ,"12,49,959",4.3,26.0,3.8,642
405,Senior Process Associate ,Yes-Bank,0-11yrs  ,"2,75,656",1.2,4.3,3.8,642
406,Software Engineer ,Yes-Bank,0-8yrs  ,"2,49,451",1.0,4.4,3.8,642
407,Process Associate ,Yes-Bank,0-9yrs  ,"2,94,512",15.0,5.0,3.8,642
408,Software Developer ,Yes-Bank,0-9yrs  ,"30,28,264",17.6,43.0,3.8,642
409,System Engineer Hardware ,Yes-Bank,0-6yrs  ,"7,05,279",2.3,14.5,3.8,642
410,System Engineer ,Asian-Paints,0-10yrs  ,"3,11,558",1.5,5.3,4.2,615
411,IT Analyst ,Asian-Paints,3-11yrs  ,"8,43,137",2.4,15.0,4.2,615
412,AST Consultant ,Asian-Paints,6-15yrs  ,"5,54,037",1.1,14.5,4.2,615
413,Assistant System Engineer ,Asian-Paints,0-4yrs  ,"5,02,712",1.5,15.0,4.2,615
414,Associate Consultant ,Asian-Paints,4-21yrs  ,"2,86,562",1.0,4.8,4.2,615
415,Senior Process Associate ,Asian-Paints,0-11yrs  ,"2,80,663",1.2,4.3,4.2,615
416,Software Engineer ,Asian-Paints,0-8yrs  ,"8,87,963",2.0,16.0,4.2,615
417,Process Associate ,Asian-Paints,0-9yrs  ,"4,36,228",2.1,6.3,4.2,615
418,Software Developer ,Asian-Paints,0-9yrs  ,"6,63,218",3.4,8.0,4.2,615
419,System Engineer Hardware ,Asian-Paints,0-6yrs  ,"3,29,514",2.0,5.7,4.2,615
420,System Engineer ,Cipla-Pharmaceutical,0-10yrs  ,"11,55,443",4.5,16.5,3.8,605
421,IT Analyst ,Cipla-Pharmaceutical,3-11yrs  ,"8,13,120",4.0,11.0,3.8,605
422,AST Consultant ,Cipla-Pharmaceutical,6-15yrs  ,"4,67,159",2.0,6.7,3.8,605
423,Assistant System Engineer ,Cipla-Pharmaceutical,0-4yrs  ,"4,64,166",1.5,7.6,3.8,605
424,Associate Consultant ,Cipla-Pharmaceutical,4-21yrs  ,"4,21,699",1.1,7.0,3.8,605
425,Senior Process Associate ,Cipla-Pharmaceutical,0-11yrs  ,"13,16,813",7.0,17.0,3.8,605
426,Software Engineer ,Cipla-Pharmaceutical,0-8yrs  ,"7,62,283",4.0,11.0,3.8,605
427,Process Associate ,Cipla-Pharmaceutical,0-9yrs  ,"2,99,554",1.0,6.1,3.8,605
428,Software Developer ,Cipla-Pharmaceutical,0-9yrs  ,"1,88,400",95.0,2.7,3.8,605
429,System Engineer Hardware ,Cipla-Pharmaceutical,0-6yrs  ,"2,90,752",1.5,5.0,3.8,605
430,System Engineer ,Sutherland-Global-Services,0-10yrs  ,"4,25,387",1.6,8.0,4.0,598
431,IT Analyst ,Sutherland-Global-Services,3-11yrs  ,"2,89,281",12.0,7.3,4.0,598
432,AST Consultant ,Sutherland-Global-Services,6-15yrs  ,"2,99,444",1.0,4.8,4.0,598
433,Assistant System Engineer ,Sutherland-Global-Services,0-4yrs  ,"3,15,820",1.2,5.4,4.0,598
434,Associate Consultant ,Sutherland-Global-Services,4-21yrs  ,"3,95,241",1.0,9.0,4.0,598
435,Senior Process Associate ,Sutherland-Global-Services,0-11yrs  ,"5,18,416",1.8,11.8,4.0,598
436,Software Engineer ,Sutherland-Global-Services,0-8yrs  ,"2,80,963",10.0,7.2,4.0,598
437,Process Associate ,Sutherland-Global-Services,0-9yrs  ,"2,93,729",1.0,4.2,4.0,598
438,Software Developer ,Sutherland-Global-Services,0-9yrs  ,"3,63,998",20.0,7.1,4.0,598
439,System Engineer Hardware ,Sutherland-Global-Services,0-6yrs  ,"3,03,730",1.1,4.5,4.0,598
440,System Engineer ,NTT-DATA,0-10yrs  ,"6,20,763",2.5,12.0,3.9,590
441,IT Analyst ,NTT-DATA,3-11yrs  ,"4,57,602",1.3,8.2,3.9,590
442,AST Consultant ,NTT-DATA,6-15yrs  ,"6,61,691",2.4,14.5,3.9,590
443,Assistant System Engineer ,NTT-DATA,0-4yrs  ,"7,45,796",3.2,11.5,3.9,590
444,Associate Consultant ,NTT-DATA,4-21yrs  ,"11,84,931",3.0,20.8,3.9,590
445,Senior Process Associate ,NTT-DATA,0-11yrs  ,"10,38,194",4.0,15.5,3.9,590
446,Software Engineer ,NTT-DATA,0-8yrs  ,"13,52,131",6.3,19.5,3.9,590
447,Process Associate ,NTT-DATA,0-9yrs  ,"5,78,740",2.0,13.0,3.9,590
448,Software Developer ,NTT-DATA,0-9yrs  ,"5,00,774",2.5,9.3,3.9,590
449,System Engineer Hardware ,NTT-DATA,0-6yrs  ,"8,65,847",3.0,21.0,3.9,590
450,System Engineer ,Jana-Small-Finance-Bank,0-10yrs  ,"2,29,502",95.0,3.5,3.8,577
451,IT Analyst ,Jana-Small-Finance-Bank,3-11yrs  ,"2,74,759",1.2,4.0,3.8,577
452,AST Consultant ,Jana-Small-Finance-Bank,6-15yrs  ,"3,61,687",1.5,6.4,3.8,577
453,Assistant System Engineer ,Jana-Small-Finance-Bank,0-4yrs  ,"4,43,839",1.6,10.2,3.8,577
454,Associate Consultant ,Jana-Small-Finance-Bank,4-21yrs  ,"4,13,450",1.8,9.1,3.8,577
455,Senior Process Associate ,Jana-Small-Finance-Bank,0-11yrs  ,"2,31,887",1.0,4.0,3.8,577
456,Software Engineer ,Jana-Small-Finance-Bank,0-8yrs  ,"8,67,303",3.4,18.0,3.8,577
457,Process Associate ,Jana-Small-Finance-Bank,0-9yrs  ,"3,44,339",1.0,5.6,3.8,577
458,Software Developer ,Jana-Small-Finance-Bank,0-9yrs  ,"2,36,752",1.1,3.6,3.8,577
459,System Engineer Hardware ,Jana-Small-Finance-Bank,0-6yrs  ,"2,34,035",1.2,4.1,3.8,577
460,System Engineer ,ICICI-Prudential-Life-Insurance,0-10yrs  ,"2,97,029",1.2,4.3,4.7,564
461,IT Analyst ,ICICI-Prudential-Life-Insurance,3-11yrs  ,"2,83,332",1.0,4.2,4.7,564
462,AST Consultant ,ICICI-Prudential-Life-Insurance,6-15yrs  ,"3,14,276",1.8,4.2,4.7,564
463,Assistant System Engineer ,ICICI-Prudential-Life-Insurance,0-4yrs  ,"6,48,289",2.8,10.2,4.7,564
464,Associate Consultant ,ICICI-Prudential-Life-Insurance,4-21yrs  ,"3,77,062",2.0,5.0,4.7,564
465,Senior Process Associate ,ICICI-Prudential-Life-Insurance,0-11yrs  ,"4,63,595",35.0,5.7,4.7,564
466,Software Engineer ,ICICI-Prudential-Life-Insurance,0-8yrs  ,"4,86,710",3.3,6.8,4.7,564
467,Process Associate ,ICICI-Prudential-Life-Insurance,0-9yrs  ,"4,89,389",4.0,6.5,4.7,564
468,Software Developer ,ICICI-Prudential-Life-Insurance,0-9yrs  ,"3,24,208",1.8,4.3,4.7,564
469,System Engineer Hardware ,ICICI-Prudential-Life-Insurance,0-6yrs  ,"9,21,208",5.2,12.5,4.7,564
470,System Engineer ,EXL-Service,0-10yrs  ,"3,69,578",15.0,7.7,3.8,556
471,IT Analyst ,EXL-Service,3-11yrs  ,"13,40,226",5.0,26.0,3.8,556
472,AST Consultant ,EXL-Service,6-15yrs  ,"8,15,652",3.0,21.0,3.8,556
473,Assistant System Engineer ,EXL-Service,0-4yrs  ,"9,90,105",4.5,16.5,3.8,556
474,Associate Consultant ,EXL-Service,4-21yrs  ,"2,78,065",1.0,4.8,3.8,556
475,Senior Process Associate ,EXL-Service,0-11yrs  ,"22,10,424",9.8,31.0,3.8,556
476,Software Engineer ,EXL-Service,0-8yrs  ,"2,32,853",1.2,3.7,3.8,556
477,Process Associate ,EXL-Service,0-9yrs  ,"2,50,870",1.1,5.2,3.8,556
478,Software Developer ,EXL-Service,0-9yrs  ,"4,58,869",2.0,6.1,3.8,556
479,System Engineer Hardware ,EXL-Service,0-6yrs  ,"3,89,529",1.0,8.0,3.8,556
480,System Engineer ,KPMG,0-10yrs  ,"9,91,000",2.0,18.6,4.3,548
481,IT Analyst ,KPMG,3-11yrs  ,"4,63,695",25.0,35.0,4.3,548
482,AST Consultant ,KPMG,6-15yrs  ,"6,97,482",2.5,16.5,4.3,548
483,Assistant System Engineer ,KPMG,0-4yrs  ,"18,36,440",4.0,40.0,4.3,548
484,Associate Consultant ,KPMG,4-21yrs  ,"5,46,303",2.0,9.5,4.3,548
485,Senior Process Associate ,KPMG,0-11yrs  ,"12,68,591",2.6,26.0,4.3,548
486,Software Engineer ,KPMG,0-8yrs  ,"40,11,769",20.0,58.0,4.3,548
487,Process Associate ,KPMG,0-9yrs  ,"8,90,145",3.6,13.0,4.3,548
488,Software Developer ,KPMG,0-9yrs  ,"11,09,639",4.5,18.0,4.3,548
489,System Engineer Hardware ,KPMG,0-6yrs  ,"8,37,282",3.8,11.5,4.3,548
490,System Engineer ,HCL-Group,0-10yrs  ,"5,08,328",1.9,10.9,2.9,537
491,IT Analyst ,HCL-Group,3-11yrs  ,"13,92,080",3.9,40.0,2.9,537
492,AST Consultant ,HCL-Group,6-15yrs  ,"8,02,094",2.3,18.4,2.9,537
493,Assistant System Engineer ,HCL-Group,0-4yrs  ,"9,09,087",2.2,25.0,2.9,537
494,Associate Consultant ,HCL-Group,4-21yrs  ,"4,99,665",1.7,11.5,2.9,537
495,Senior Process Associate ,HCL-Group,0-11yrs  ,"3,99,179",1.2,11.5,2.9,537
496,Software Engineer ,HCL-Group,0-8yrs  ,"13,69,139",4.4,35.0,2.9,537
497,Process Associate ,HCL-Group,0-9yrs  ,"18,64,227",5.0,34.1,2.9,537
498,Software Developer ,HCL-Group,0-9yrs  ,"9,31,695",2.5,23.0,2.9,537
499,System Engineer Hardware ,HCL-Group,0-6yrs  ,"16,87,668",1.2,34.0,2.9,537
500,System Engineer ,Udaan,0-10yrs  ,"3,28,214",1.1,5.7,3.9,524
501,IT Analyst ,Udaan,3-11yrs  ,"4,22,391",1.8,7.4,3.9,524
502,AST Consultant ,Udaan,6-15yrs  ,"2,90,467",1.0,5.0,3.9,524
503,Assistant System Engineer ,Udaan,0-4yrs  ,"3,47,071",1.5,5.5,3.9,524
504,Associate Consultant ,Udaan,4-21yrs  ,"3,18,530",1.2,5.0,3.9,524
505,Senior Process Associate ,Udaan,0-11yrs  ,"4,62,936",1.9,8.2,3.9,524
506,Software Engineer ,Udaan,0-8yrs  ,"4,42,825",1.7,6.6,3.9,524
507,Process Associate ,Udaan,0-9yrs  ,"4,08,460",2.4,6.2,3.9,524
508,Software Developer ,Udaan,0-9yrs  ,"2,69,611",1.2,4.1,3.9,524
509,System Engineer Hardware ,Udaan,0-6yrs  ,"5,36,806",2.0,12.2,3.9,524
510,System Engineer ,UltraTech-Cement,0-10yrs  ,"8,75,315",4.9,13.3,4.0,514
511,IT Analyst ,UltraTech-Cement,3-11yrs  ,"3,49,081",1.5,5.5,4.0,514
512,AST Consultant ,UltraTech-Cement,6-15yrs  ,"5,97,913",3.0,9.0,4.0,514
513,Assistant System Engineer ,UltraTech-Cement,0-4yrs  ,"7,42,451",2.7,11.6,4.0,514
514,Associate Consultant ,UltraTech-Cement,4-21yrs  ,"8,39,327",5.0,12.1,4.0,514
515,Senior Process Associate ,UltraTech-Cement,0-11yrs  ,"6,56,150",3.0,10.5,4.0,514
516,Software Engineer ,UltraTech-Cement,0-8yrs  ,"8,49,523",5.0,12.0,4.0,514
517,Process Associate ,UltraTech-Cement,0-9yrs  ,"5,80,407",2.2,8.8,4.0,514
518,Software Developer ,UltraTech-Cement,0-9yrs  ,"5,33,251",2.1,8.7,4.0,514
519,System Engineer Hardware ,UltraTech-Cement,0-6yrs  ,"3,75,356",1.2,6.0,4.0,514
520,System Engineer ,Lupin,0-10yrs  ,"4,87,694",1.5,8.4,3.7,507
521,IT Analyst ,Lupin,3-11yrs  ,"5,26,610",2.9,8.7,3.7,507
522,AST Consultant ,Lupin,6-15yrs  ,"4,43,621",2.2,7.0,3.7,507
523,Assistant System Engineer ,Lupin,0-4yrs  ,"4,20,811",1.9,7.6,3.7,507
524,Associate Consultant ,Lupin,4-21yrs  ,"4,09,774",1.9,6.0,3.7,507
525,Senior Process Associate ,Lupin,0-11yrs  ,"4,02,788",2.0,7.1,3.7,507
526,Software Engineer ,Lupin,0-8yrs  ,"6,99,078",2.9,11.5,3.7,507
527,Process Associate ,Lupin,0-9yrs  ,"4,27,033",1.6,7.0,3.7,507
528,Software Developer ,Lupin,0-9yrs  ,"7,27,297",4.0,10.5,3.7,507
529,System Engineer Hardware ,Lupin,0-6yrs  ,"9,61,140",5.5,13.0,3.7,507
530,System Engineer ,Bandhan-Bank,0-10yrs  ,"4,97,039",1.9,7.4,4.2,495
531,IT Analyst ,Bandhan-Bank,3-11yrs  ,"2,65,171",10.0,7.0,4.2,495
532,AST Consultant ,Bandhan-Bank,6-15yrs  ,"7,60,482",3.2,12.8,4.2,495
533,Assistant System Engineer ,Bandhan-Bank,0-4yrs  ,"12,49,040",4.0,20.3,4.2,495
534,Associate Consultant ,Bandhan-Bank,4-21yrs  ,"9,60,643",25.0,27.7,4.2,495
535,Senior Process Associate ,Bandhan-Bank,0-11yrs  ,"3,80,395",1.6,5.7,4.2,495
536,Software Engineer ,Bandhan-Bank,0-8yrs  ,"2,22,554",1.0,3.5,4.2,495
537,Process Associate ,Bandhan-Bank,0-9yrs  ,"2,14,376",1.1,3.5,4.2,495
538,Software Developer ,Bandhan-Bank,0-9yrs  ,"7,07,991",3.0,11.0,4.2,495
539,System Engineer Hardware ,Bandhan-Bank,0-6yrs  ,"4,11,469",1.4,6.0,4.2,495
540,System Engineer ,Paytm,0-10yrs  ,"5,91,829",1.5,10.3,3.9,490
541,IT Analyst ,Paytm,3-11yrs  ,"2,96,150",60.0,11.0,3.9,490
542,AST Consultant ,Paytm,6-15yrs  ,"2,61,465",10.0,4.5,3.9,490
543,Assistant System Engineer ,Paytm,0-4yrs  ,"13,94,845",2.2,36.0,3.9,490
544,Associate Consultant ,Paytm,4-21yrs  ,"4,90,009",1.8,9.0,3.9,490
545,Senior Process Associate ,Paytm,0-11yrs  ,"21,40,289",1.0,38.0,3.9,490
546,Software Engineer ,Paytm,0-8yrs  ,"6,62,890",2.0,18.0,3.9,490
547,Process Associate ,Paytm,0-9yrs  ,"7,72,632",4.0,13.0,3.9,490
548,Software Developer ,Paytm,0-9yrs  ,"11,43,091",3.1,18.0,3.9,490
549,System Engineer Hardware ,Paytm,0-6yrs  ,"2,68,373",1.0,6.0,3.9,490
550,System Engineer ,Bajaj-Finance,0-10yrs  ,"2,57,773",10.0,15.0,3.9,485
551,IT Analyst ,Bajaj-Finance,3-11yrs  ,"2,56,624",10.0,10.1,3.9,485
552,AST Consultant ,Bajaj-Finance,6-15yrs  ,"4,97,046",1.3,9.0,3.9,485
553,Assistant System Engineer ,Bajaj-Finance,0-4yrs  ,"4,32,272",10.0,8.0,3.9,485
